DIRECTORATE,SUPPLIER,SUPPLIER NAME,TRANS NOS,AMOUNT,TRANS DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER GROUP
ADCHILD,CONT04,Contemplation Homes Ltd.,20126135,"1,912.28",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,CONT04,Contemplation Homes Ltd.,20126135,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,CONT04,Contemplation Homes Ltd.,20126135,"1,040.00",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,CONT04,Contemplation Homes Ltd.,20126135,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,CONT04,Contemplation Homes Ltd.,20126135,"2,365.20",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,CONT04,Contemplation Homes Ltd.,20126135,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,CORN14,Cornerstone Children?s Homes (Lowrie Care Services Ltd),10480731,"14,304.32",10/03/2015,Transfer Payments,Residential Care Home Placements,General Creditors
ADCHILD,CORN14,Cornerstone Children?s Homes (Lowrie Care Services Ltd),10481123,"8,948.64",07/04/2015,Transfer Payments,Residential Care Home Placements,General Creditors
ADCHILD,CORN14,Cornerstone Children?s Homes (Lowrie Care Services Ltd),10481158,"8,948.64",20/03/2015,Transfer Payments,Residential Care Home Placements,General Creditors
ADCHILD,CORN14,Cornerstone Children?s Homes (Lowrie Care Services Ltd),10481159,"6,711.36",20/03/2015,Transfer Payments,Residential Care Home Placements,General Creditors
ADCHILD,COSY01,Cosy,10479592,557.28,19/03/2015,Transfer Payments,PVI Payments,Schools
ADCHILD,COUN17,Countrywide Intergrated Solutions,10479116,550.00,27/03/2015,Transfer Payments,Asylum Seekers Payments,General Creditors
ADCHILD,COUN17,Countrywide Intergrated Solutions,10481200,550.00,13/04/2015,Transfer Payments,Asylum Seekers Payments,General Creditors
ADCHILD,CROS10,Crosshall Infant Academy,10480860,719.00,13/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools - OLA,General Creditors
ADCHILD,CROS09,Crossroads Care,10480548,916.35,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,CROY02,Croyland Primary School,10480862,993.00,13/04/2015,Transfer Payments,Top-Ups - Maintained Providers - OLA,General Creditors
ADCHILD,DAUB02,Daubeney Academy,10480677,"2,907.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,Other Local Authority
ADCHILD,DEAF03,Deafeatures Ltd,10479387,"2,320.00",23/03/2015,Supplies,Interpretation Services,General Creditors
ADCHILD,DEAN99,Dean Grasshoppers,10480433,"4,445.00",09/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,General Creditors
ADCHILD,DEBB01,Debbie?s Day Care Ltd,10480434,"43,708.00",09/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,General Creditors
ADCHILD,DERB98,Derbyshire County Council,10481594,"1,000.00",07/04/2015,Supplies,Subscriptions,General Creditors
ADCHILD,DERB98,Derbyshire County Council,20126136,"1,837.92",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10479332,"1,071.89",28/12/2014,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10479332,"7,780.55",28/12/2014,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10479342,"7,742.70",25/01/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10479342,793.05,25/01/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10479357,"1,085.52",26/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10479357,"7,796.89",26/02/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480507,893.19,29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480508,"3,877.82",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480509,"2,319.68",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480511,"9,738.44",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480511,"1,356.90",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480512,"1,563.77",26/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480512,"3,543.82",26/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480512,"4,815.92",26/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480512,"6,711.71",26/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480512,"2,678.60",26/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480512,280.75,26/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL94,Dial House Home Care Ltd (Domiciliary).,10480524,"3,190.00",29/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,537.60,08/04/2015,Transfer Payments,Respite Care,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,325.20",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"1,981.32",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,496.44",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,260.00,08/04/2015,Transfer Payments,Respite Care,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Respite Care,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,464.52",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,448.00,08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DIAL97,Dial House Nursing Home Ltd,20126137,"2,240.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,DOMR01,DomRiss Care Limited,10481529,"1,164.30",01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481530,466.64,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481531,250.88,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481532,"1,000.06",01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481557,364.88,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481558,363.90,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481559,326.70,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481560,302.50,01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOMR01,DomRiss Care Limited,10481563,"1,106.64",01/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,DOVE01,Dove Care Homes,20126139,"1,776.00",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,EMSL01,E.M.S Lifts Ltd,10479660,637.04,31/03/2015,Transfer Payments,Social Care - Equipment & Furniture,General Creditors
ADCHILD,EACH01,Each One Homes,10482906,"7,125.71",07/04/2015,Transfer Payments,Supported Living Packages,General Creditors
ADCHILD,EAST89,Easterbrook Farm,20126140,"3,931.20",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,EAST87,Eastern Leadership Centre,10479535,"1,825.00",01/03/2015,Supplies,Subscriptions,General Creditors
ADCHILD,EDGE99,Edge Services,10482410,"1,482.00",20/04/2015,Employees,Training,General Creditors
ADCHILD,EDGE99,Edge Services,10482435,"3,900.00",16/04/2015,Employees,Training,General Creditors
ADCHILD,ELEC96,Electrolux Laundry Systems,10480478,"2,305.00",07/04/2015,Supplies,Purchase of Equipment,General Creditors
ADCHILD,ELEC96,Electrolux Laundry Systems,10480479,"4,998.00",07/04/2015,Supplies,Purchase of Equipment,General Creditors
ADCHILD,ELIT94,Elite Care Services Ltd,10479281,598.88,30/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ELIT94,Elite Care Services Ltd,10479300,324.39,19/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ELIT94,Elite Care Services Ltd,10479330,598.88,16/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ELIT94,Elite Care Services Ltd,10479331,598.88,23/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,ELIT01,Elite Day Services,10480070,685.02,24/03/2015,Transfer Payments,Day Care,General Creditors
ADCHILD,ELIT01,Elite Day Services,10482310,342.51,30/03/2015,Transfer Payments,Day Care,General Creditors
ADCHILD,ELST96,Elstow Lodge,20126141,"2,422.56",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ELST96,Elstow Lodge,20126141,"2,765.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ELST96,Elstow Lodge,20126141,"3,194.80",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,ELST96,Elstow Lodge,20126141,"2,765.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BROO13,Eminence Care (Broomfield) Ltd T/A Broomfield Residential Care.,20126117,"1,984.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,BROO13,Eminence Care (Broomfield) Ltd T/A Broomfield Residential Care.,20126117,"1,838.20",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,EMOO98,Emo Oil Ltd,10479001,"2,969.40",24/03/2015,Premises,Oil,General Creditors
ADCHILD,EMOO98,Emo Oil Ltd,10480213,"3,973.39",30/03/2015,Premises,Oil,General Creditors
ADCHILD,EMOO98,Emo Oil Ltd,10481736,"4,159.93",10/04/2015,Supplies,Miscellaneous Expenditure,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10477956,"3,420.00",24/03/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10477957,525.00,24/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10479115,341.25,27/03/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10479212,425.75,11/12/2014,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10479214,334.75,11/12/2014,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10480520,"3,420.00",07/04/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481128,525.00,07/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481417,525.00,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481424,"3,420.00",31/03/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481515,"1,061.00",02/04/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481516,544.00,02/04/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481517,709.00,02/04/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481534,273.00,02/04/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481546,922.08,27/03/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10481548,"1,017.00",27/03/2015,Employees,Agency Salaries,General Creditors
ADCHILD,EVER03,Everycare (MK & Beds) Ltd.,10482922,"3,420.00",25/09/2014,Employees,Agency Salaries,General Creditors
ADCHILD,EXCE01,Excelcare,20126142,"2,545.20",08/04/2015,Transfer Payments,Nursing Home Payments,
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483596,330.00,26/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483598,300.00,26/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483599,300.00,26/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483600,300.00,28/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483601,300.00,28/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483602,340.00,28/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,EXPE04,Expedite RSCIMC Limited,10483603,340.00,25/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,FACE04,FACES Bedford,10482071,"17,276.75",01/04/2015,Supplies,Payment of Grant,General Creditors
ADCHILD,FAIR92,Fairfield Care Products LLP,10480227,"2,760.00",30/01/2015,Supplies,Purchase of Equipment,General Creditors
ADCHILD,FAIR92,Fairfield Care Products LLP,10480904,431.75,10/04/2015,Supplies,Purchase of Consumables,General Creditors
ADCHILD,FAMI07,Family Fostercare,10480502,"3,253.20",01/04/2015,Transfer Payments,Independent Foster Care,General Creditors
ADCHILD,FAMI07,Family Fostercare,10480503,"3,253.20",01/04/2015,Transfer Payments,Independent Foster Care,General Creditors
ADCHILD,FAMI07,Family Fostercare,10480504,"3,424.20",01/04/2015,Transfer Payments,Independent Foster Care,General Creditors
ADCHILD,FAST97,Fastline Taxis (Bedford Taxis),10481062,918.00,01/04/2015,Transfer Payments,Transport & Meals (Social Services Care),General Creditors
ADCHILD,FENW98,Fenwick House,20126143,"1,881.60",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,FENW98,Fenwick House,20126143,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FENW98,Fenwick House,20126143,"1,142.40",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,FENW98,Fenwick House,20126143,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FENW98,Fenwick House,20126143,"2,755.20",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,FENW98,Fenwick House,20126143,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,,Fitness First Bedford,10482857,516.00,23/04/2015,Transfer Payments,Day Care,General Creditors
ADCHILD,FITZ05,Fitzroy,20126144,"4,770.76",08/04/2015,Transfer Payments,Home Care,
ADCHILD,FOCU09,Focus School - Biggleswade Campus,10480866,631.00,13/04/2015,Transfer Payments,(DSG) Top-Ups - Independent Providers,General Creditors
ADCHILD,FOOT97,Footsteps Nursery School.,10480436,"30,404.00",09/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,General Creditors
ADCHILD,FOST95,Foster Refrigerator,10483277,"1,420.00",23/04/2015,Supplies,Purchase of Equipment,General Creditors
ADCHILD,FRAN14,Francis House.,10480253,962.46,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480254,737.00,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480257,635.93,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480259,"1,990.64",05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480261,385.29,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480262,915.08,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480264,456.75,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480265,344.40,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480266,802.68,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480267,899.00,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480268,577.93,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480269,558.00,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,10480271,770.57,05/04/2015,Transfer Payments,Home Care,Social Care
ADCHILD,FRAN14,Francis House.,20126145,"3,580.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FRAN14,Francis House.,20126145,"3,400.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FRAN14,Francis House.,20126145,"3,324.29",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FRAN14,Francis House.,20126145,"3,580.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FRAN14,Francis House.,20126145,"3,580.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FRAN14,Francis House.,20126145,"3,580.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Home Care,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Home Care,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Supported Living Packages,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Supported Living Packages,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Supported Living Packages,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Supported Living Packages,
ADCHILD,FRAN14,Francis House.,20126242,"1,580.00",08/04/2015,Transfer Payments,Supported Living Packages,
ADCHILD,FREE93,Freeway Trust Ltd,20126146,"2,446.52",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,FREM99,Fremantle Trust,10476645,"320,374.04",09/03/2015,Transfer Payments,Residential Care Home Placements,General Creditors
ADCHILD,FREM99,Fremantle Trust,10476645,"262,124.21",09/03/2015,Transfer Payments,Supported Living Packages,General Creditors
ADCHILD,FREM99,Fremantle Trust,10482314,279.20,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,FREM99,Fremantle Trust,10482314,"1,719.36",31/03/2015,Transfer Payments,Day Care,General Creditors
ADCHILD,FREM99,Fremantle Trust,10482315,873.90,31/03/2015,Transfer Payments,Day Care,General Creditors
ADCHILD,FREM99,Fremantle Trust,10482315,419.04,31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,FREM99,Fremantle Trust,10482316,"3,315.50",31/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,FUSI04,Fusion Lifestyle,10479182,250.00,24/03/2015,Transfer Payments,Client Activities,General Creditors
ADCHILD,FUSI04,Fusion Lifestyle,10479642,425.10,21/03/2015,Supplies,Venue Hire,General Creditors
ADCHILD,FUSI04,Fusion Lifestyle,10483489,488.50,27/04/2015,Transfer Payments,Day Care,General Creditors
ADCHILD,GATE03,Gateway Assessments and Consultancy Ltd,10480130,"1,750.00",31/03/2015,Supplies,Professional Fees,General Creditors
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"6,115.20",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,403.20,08/04/2015,Transfer Payments,Respite Care,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,040.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,881.60",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GBCA99,GB Care Ltd,20126147,"1,881.60",08/04/2015,Transfer Payments,Respite Care,
ADCHILD,GEMI06,Gemini Exclusive Care,10481503,"1,030.00",25/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,GEMI06,Gemini Exclusive Care,10481504,604.00,25/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,GEMI06,Gemini Exclusive Care,10481505,"1,208.00",25/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,GEMI06,Gemini Exclusive Care,10481506,517.50,25/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,GEMI06,Gemini Exclusive Care,10481507,302.00,25/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,GEMI06,Gemini Exclusive Care,10481508,794.00,25/03/2015,Transfer Payments,Home Care,General Creditors
ADCHILD,GETT02,Get Training and Interventions (GETTI) Limited,10483592,"1,232.00",18/03/2015,Supplies,Professional Fees,General Creditors
ADCHILD,GETT02,Get Training and Interventions (GETTI) Limited,10483593,615.00,21/04/2015,Supplies,Professional Fees,General Creditors
ADCHILD,GLOB03,Global Radio Services Ltd.,10473890,"3,598.26",02/03/2015,Supplies,Marketing & Promotion,General Creditors
ADCHILD,GLOU99,Gloucestershire Group Homes,20126148,"3,824.20",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GOLD14,Goldington Academy Trust,10480678,"3,014.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,Schools
ADCHILD,GOLD05,Goldington Family Centre ,10478487,"107,080.00",20/03/2015,Transfer Payments,Contract Payments - Private Contractors,General Creditors
ADCHILD,932185,Goldington Green Academy,1478355,267.75,17/04/2015,Other Income,Income from Academies & Free Schools,
ADCHILD,GOLD19,Goldington Green Academy,10480413,"25,362.00",08/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,Schools
ADCHILD,GOLD19,Goldington Green Academy,10480668,"6,939.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,Schools
ADCHILD,GOLD97,Goldington Tots Pre School,10480437,"34,420.00",09/04/2015,Transfer Payments,Govt Grant - Funds delegated by the LA,General Creditors
ADCHILD,GRAC03,Gracewell Healthcare,20126149,"2,025.96",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GRAN14,Grange Academy,10480689,"26,373.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,Schools
ADCHILD,GREE97,Greensleeves Homes Trust,20126152,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GREE97,Greensleeves Homes Trust,20126152,"2,240.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GREE97,Greensleeves Homes Trust,20126152,"1,836.44",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GREE22,Greensleeves Homes Trust - Tickford Abbey,20126150,"2,200.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GRET99,Gretton Homes,20126153,"6,030.88",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GRET99,Gretton Homes,20126153,"6,039.00",08/04/2015,Transfer Payments,Residential Care Home Placements,
ADCHILD,GRET01,Gretton School,10482081,"25,000.00",01/04/2015,Transfer Payments,Voluntary & Independent Schools,General Creditors
ADCHILD,GREY03,Greys Education Centre (Academy),10480691,"42,465.00",09/04/2015,Transfer Payments,Top-Ups - Academies & Free Schools,Other Local Authority
ADCHILD,GREY03,Greys Education Centre (Academy),10480692,"35,168.00",09/04/2015,Transfer Payments,Commissioned Services - Outreach,Other Local Authority
ADCHILD,GREY03,Greys Education Centre (Academy),10480693,"33,500.00",09/04/2015,Transfer Payments,(DSG) Commissioned Services - Medical Needs,Other Local Authority
ADCHILD,GREY03,Greys Education Centre (Academy),10480694,"22,000.00",09/04/2015,Transfer Payments,(DSG) Commissioned Services - Hospital School,Other Local Authority
ADCHILD,GREY03,Greys Education Centre (Academy),10481259,"1,874.25",24/02/2015,Transfer Payments,Payments to Schools,Other Local Authority
